Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,24879397,"Bebida de avena sin azúcar ALPRO, brik 1 litro",212683,N/A,0.22564256191253662,
True Positive,52498,"Vino Tinto Joven D.O. Rioja MILFLORES, botella 75 cl",169481,N/A,0.2265806496143341,
True Positive,540831,"Café molido FORTALEZA G. Orígenes Kenya, caja 250 g",3635,N/A,0.22759032249450684,
True Positive,3481603,"Atún claro al natural bajo en sal CALVO, pack 3x56 g",174707,N/A,0.23413823544979095,
True Positive,9495706,"Sangría DON SIMON, botella 1,5 litros",208255,N/A,0.23432308435440063,
True Positive,24189524,"Vino Tinto Tempranillo MUCHO MAS, botella 75 cl",208270,N/A,0.23777154088020325,
True Positive,4935573,"Vino Tinto Reserva Rioja AZPILICUETA, botella 75 cl",308620,N/A,0.24150460958480835,
True Positive,315309,"Brandy CARLOS III, botella 70 cl",593593,N/A,0.2421114146709442,
True Positive,984034,"Aceite de oliva virgen extra HOJIBLANCA, garrafa 5 litros",132028,N/A,0.24259218573570251,
True Positive,315283,"Brandy CARLOS I, botella 70 cl",218400,N/A,0.2431718111038208,
True Positive,22392831,"Vino Tinto Joven D.O.C. Rioja SOLAR DE ESTRAUNZA, botella 75 cl",185338,N/A,0.24789397418498993,
True Positive,13794508,"Tomate para pizza MUTTI, lata 400 g",75968,N/A,0.2501050531864166,
True Positive,684571,"Vermouth Blanco CINZANO, botella 1 litro",60229,N/A,0.250258207321167,
True Positive,14905798,"Yogur sabor melocotón-maracuya PASTORET, tarrina 500 g",113895,N/A,0.25091707706451416,
True Positive,23887045,"Vino Tinto Reserva D.O.C. Rioja Alavesa REMELLURI, botella 75 cl",2590,N/A,0.26328030228614807,
True Positive,137950,"Vermouth Rojo CINZANO, botella 1 litro",60216,N/A,0.2634024918079376,
True Positive,314617,"Aroma de azahar VAHINÉ, bote 200 ml",144653,N/A,0.27510321140289307,
True Positive,24107625,"Mantequilla con sal KERRYGOLD, pastilla 200 g",200502,N/A,0.2754197418689728,
True Positive,20244737,"Yogur griego natural azucarado OIKOS, pack 4x110 g",500006,N/A,0.27628183364868164,
True Positive,25559014,"Licor PLATA O PLOMO, botella 70 cl",208158,N/A,0.2800247073173523,
True Positive,579359,"Yogur original con fresas DANONE, pack 2x130 g",519285,N/A,0.2876491844654083,
True Positive,24959165,"Bitter con soda CINZANO, pack 3x20 cl",207268,N/A,0.2913382649421692,
True Positive,954466,"Vino Rosado D.O. Navarra LAS CAMPANAS, botella 75 cl",1131,N/A,0.29341745376586914,
True Positive,11016706,"Canónigos EROSKI, bolsa 125 g",73250,N/A,0.29429012537002563,
True Positive,18409979,"Salmón ahumado Ecobio MARTIKO, sobre 80 g",202274,N/A,0.2945114076137543,
True Positive,24442469,"Whisky de Malta 15 años GLENFIDDICH, botella 70 cl",462293,N/A,0.29864269495010376,
True Positive,129254,"Albariño R. Baixas CONDES DE ALBAREI, botella 75 cl",655655,N/A,0.29903942346572876,
True Positive,20244729,"Yogur griego natural OIKOS, pack 4x110 g",526292,N/A,0.2995620667934418,
True Positive,22384689,"Vermouth Fiero MARTINI, botella 75 cl",180689,N/A,0.3043300211429596,
True Positive,20033957,"Mango en dados LA CUERVA, bolsa 300 g",153437,N/A,0.30746176838874817,
True Positive,647263,"Palo para fregona universal VILEDA, pack 1 ud",117959,N/A,0.30916666984558105,
